Single Family Residential,1020 Telford,Crowley,76036,387500,4,3,Mayfair south,2933,1,2016,188,132,0
Single Family Residential,10201 Drop Tine Ct,Fort Worth,76126,699000,4,3.5,Deer Wood Forest Add,4290,47916,2006,75,163,42
Single Family Residential,10209 Cool Spring Dr,Fort Worth,76108,190000,4,3,Chapel Creek Ranch Add,2168,5489,1990,5,88,0
Single Family Residential,10209 Stubbs Trl,Fort Worth,76108,339000,4,3,Tejas Trails,2592,42689,1970,63,131,0
Single Family Residential,1021 Maidenhair Ln,Crowley,76036,169999,3,2,Lasater Ranch,1814,7797,2005,84,94,17
Single Family Residential,10229 Dawson Trl,Fort Worth,76108,179500,3,2.5,Westview Add,2055,5097,2001,7,87,0
Single Family Residential,10236 Lone Pine Ln,Fort Worth,76108,159900,4,2,Westpoint Add,1594,8451,1984,3,100,0
Single Family Residential,10244 Sunset View Dr,Fort Worth,76108,168000,3,2,Westpoint Add,1445,5576,1994,10,116,0
Single Family Residential,1025 Coury Rd,Everman,76140,139900,3,2,Everman Park Add,1267,9365,1967,5,110,0
Single Family Residential,10255 Mustang Wells Dr,Fort Worth,76126,348000,4,3,Mustang Pointe,2400,44431,2017,28,145,42
Single Family Residential,10298 Western Oaks Rd,Fort Worth,76108,4000000,3,2.5,Kisner  John Survey,3375,871200,2009,29,1185,0
Single Family Residential,103 Grey Stone St,Aledo,76008,569000,4,3.5,Parks of Aledo - Westview,3838,7405,2017,61,148,40
Single Family Residential,103 Oakbend Dr,Coppell,75019,535000,5,3.5,Oakbend,3788,10106,1994,3,141,29
Single Family Residential,10301 Mustang Wells Dr,Fort Worth,76126,358150,4,3,Mustang Pointe,2470,43996,2017,28,145,42
Single Family Residential,10333 Devin Ln,Fort Worth,76053,250000,4,2,Lakeview North Add,2244,7362,2004,1,111,0
Single Family Residential,1036 Breeders Cup Dr,Fort Worth,76179,215000,4,2.5,Remington Point Add,3090,5489,2003,1,70,28
Multi-Family (2-4 Unit),1036 Cottonwood Trl,Benbrook,76126,131000,2,2,Timber Creek Add,1210,5358,1983,14,108,0
Single Family Residential,1037 W Redbud Dr,Hurst,76053,299900,3,2.5,Hurst Hills Add,2169,8059,1992,4,138,0
Single Family Residential,1040 Mount Gilead Rd,Keller,76262,925000,4,3.5,Engel Parsons,3637,96268,2004,47,254,0
Single Family Residential,10404 Bing,White Settlement,76108,205000,3,2.5,Chapel Creek Ranch,2200,10890,1990,7,93,0
Single Family Residential,10425 Jaybird Dr,Fort Worth,76244,265000,5,3,Vista Meadows North,2792,5489,2006,4,95,33
Single Family Residential,10429 Bradshaw Dr,Fort Worth,76108,237900,4,2.5,Vista West,3145,8015,2006,13,76,40
Single Family Residential,1044 Blueberry Ct,Crowley,76036,292608,4,2.5,Deer Creek Estates,3048,14462,1998,32,96,53
Single Family Residential,1047 Glen Garden Dr,Roanoke,76262,696267,5,4.5,Fairway Ranch,4355,1,2016,103,160,56
Single Family Residential,1049 West Blf,Roanoke,76262,602485,4,3,Fairway Ranch,3684,8712,2017,66,164,55
Single Family Residential,105 Cora Ct,Reno,76082,325000,4,2,Springfield Estates,2221,43560,2012,4,146,0
Single Family Residential,105 Crown Valley Ct,Weatherford,76087,375000,5,4,Crown Valley Add,3923,8276,2011,19,96,30
Single Family Residential,105 Rosemeade Ct,Aledo,76008,438900,4,3,Rosemeade Addition,3132,87120,2017,4,140,0
Single Family Residential,105 St Elias Dr,Burleson,76028,374990,4,2.5,Hidden Vistas,3066,12153,2017,127,122,8
Single Family Residential,10500 W Rocky Creek Rd,Crowley,76036,1349000,4,6.5,Rocky Creek Ranch,5155,474978,2008,176,262,63
Single Family Residential,10500 Winding Passage Way,Fort Worth,76131,184000,2,2.5,Fossil Hill Estates,1667,7318,2009,4,110,26
Single Family Residential,10501 County Road 1020,Burleson,76028,1499000,3,2,H G Catlett,1556,653400,2013,322,963,0
Single Family Residential,1056 Grand National Blvd,Fort Worth,76179,194900,4,2.5,Remington Point Add,2503,5489,2005,3,78,28
Single Family Residential,106 Links Ln,Aledo,76008,459000,4,3.5,Split Rail Estates,4033,33454,2006,46,114,33
Single Family Residential,10601 Pack Saddle Trl,Fort Worth,76108,474000,5,3.5,Tejas Trails Add,3476,1,2004,34,136,0
Single Family Residential,10624 Winding Passage Way,Fort Worth,76131,225000,4,3,Fossil Hill Estates,2567,6229,2011,6,88,26
Single Family Residential,1063 Brookfield Path,Keller,76248,599000,5,5,Woodford Add,4286,8451,2015,179,140,50
Single Family Residential,107 Katie Way,Aledo,76008,779000,4,3.5,Highland Ranch Estate Ph,4900,132292,2012,125,159,0
Single Family Residential,10704 Alta Sierra Dr,Benbrook,76126,649000,5,3.5,Whitestone Heights Add,4256,23435,2014,81,152,33
Single Family Residential,10724 Edgewest Ter,Fort Worth,76108,146000,3,2.5,Westpoint Village,1308,4792,2007,1,112,0
Single Family Residential,1074 Brookfield Path,Keller,76248,539903,4,3.5,Woodford Addition,3713,8451,2014,71,145,50
Single Family Residential,108 Lariat Ct,Willow Park,76087,349990,5,3,El Chico,3618,116305,1981,3,97,0
Single Family Residential,108 N Las Vegas Trl,White Settlement,76108,82900,3,1,Westview Highlands Add,1062,7362,1947,11,78,0
Single Family Residential,10804 Hornby St,Fort Worth,76108,170000,4,2,Chapel Creek Ranch Add,1772,7144,1992,54,96,0
Single Family Residential,10805 Ambling Trl,Fort Worth,76108,229000,4,2.5,Vista West,2664,7187,2005,36,86,37
Single Family Residential,10819 Golfview Way,Benbrook,76126,389000,4,4,Whitestone Ranch Add,2967,8756,2013,21,131,18
Single Family Residential,10832 Live Oak Creek Dr,Fort Worth,76108,226763,4,2,Silver Ridge,2029,0,2017,4,112,8
Single Family Residential,10833 Live Oak Creek Dr,Fort Worth,76108,209543,3,2,Silver Ridge,1629,0,2017,4,129,8
Single Family Residential,10840 Live Oak Creek Dr,Fort Worth,76108,210277,3,2,Silver Ridge,1629,1,2017,14,129,17
Single Family Residential,10849 Live Oak Creek Dr,Fort Worth,76108,223978,4,2,Silver Ridge,2029,0,2017,4,110,8
Single Family Residential,1085 W Winding Creek Dr,Grapevine,76051,435000,4,2.5,Winding Creek Estates Add,2613,10280,1991,1,166,4
Single Family Residential,10905 Middleglen Rd,Fort Worth,76052,214900,3,2,Emerald Park Add,1844,5401,2010,5,117,23
Single Family Residential,10905 Smoky Oak Trl,Flower Mound,76226,575389,4,3,Canyon Falls,3293,9583,2017,2,175,205
Single Family Residential,10908 Blythe Ct,Fort Worth,76028,189900,3,2,Deer Creek Acres Add,1847,13504,1969,3,103,0
Single Family Residential,10908 Prestwick Ter,Benbrook,76126,316400,3,2,Whitestone Ranch Ph 4,2040,7013,2017,179,155,23
Single Family Residential,10920 Prestwick Ter,Benbrook,76126,334500,3,2.5,Whitestone Ranch Ph 4,2301,10280,2015,3,145,31
Single Family Residential,10921 Hawkins Home Blvd,Benbrook,76126,509900,4,3.5,Whitestone Heights Add,3239,21127,2010,52,157,38
Single Family Residential,10950 Live Oak Crk,Fort Worth,76108,299999,4,2.5,Silver Ridge,2267,9409,2017,1,132,22
Single Family Residential,1100 Grand Central Pkwy,Saginaw,76131,345000,4,2.5,Highland Station Add,4018,9496,1999,13,86,0
Single Family Residential,1100 Hidden Lake Dr,Burleson,76028,289900,3,2.5,Hidden Creek Estates,2540,8538,2011,5,114,0
Single Family Residential,1100 Port Way,Crowley,76036,205000,4,2.5,Creekside,2407,8712,2014,23,85,37
Single Family Residential,1100 Shady Ln N,Keller,76248,795000,5,6,Buchanan Sub,6180,35109,1961,81,129,0
Single Family Residential,11004 Wanamaker,Benbrook,76126,299900,3,2.5,Whitestone Ranch,2034,1,2017,91,147,31
Single Family Residential,11028 HAWKINS HOME Blvd,Benbrook,76126,475000,4,3,Whitestone Heights Add,2897,14941,2006,50,164,40
Single Family Residential,1103 Newchester Dr,Roanoke,76262,400000,4,3.5,Briarwyck Ph 3a,3633,9104,2012,3,110,34
Single Family Residential,11033 Owl Creek Dr,Fort Worth,76179,334880,3,2.5,Lago Vista At Bonds Ranch Add,2505,17642,2005,4,134,56
Single Family Residential,1104 Melissa Dr,Keller,76262,439900,3,2.5,Melody Hills Estates Add,2612,43516,1978,76,168,0
Single Family Residential,1104 Oakwood Cir,Keller,76248,399900,3,2.5,One Thousand Oaks Add,2428,38768,1977,62,165,0
Single Family Residential,1105 Deedee Creek Dr,Euless,76040,269000,3,2.5,Creek Bend Euless,2039,6360,2005,3,132,0
Single Family Residential,1105 Lake Hills Trl,Roanoke,76262,569990,4,4,Fairway Ranch,3601,1,2017,131,158,55
Single Family Residential,1108 E Baltimore Ave,Fort Worth,76104,65000,2,1,Southland Subdivision,884,6011,1926,1,74,0
Single Family Residential,1108 Jericho Ct,Keller,76262,660000,5,4,Mount Gilead Manor,3799,39160,1989,26,174,0
Single Family Residential,1108 Mourning Dove Dr,Burleson,76028,175000,3,2,West Bend South,1786,7013,2006,4,98,17
Single Family Residential,1108 N Knowles Dr,Saginaw,76179,149999,3,2,Saginaw North Add,1299,8364,1980,6,115,0
