78122,STANDARD,Leesville,Gonzales County,290
75042,STANDARD,Garland,Dallas County,37960
77209,UNIQUE,Houston,Harris County,0
75161,STANDARD,Terrell,Kaufman County,5480
76567,STANDARD,Rockdale,Milam County,7720
75431,STANDARD,Como,Hopkins County,1840
77234,PO BOX,Houston,Harris County,540
78731,STANDARD,Austin,Travis County,23730
79378,PO BOX,Wellman,Terry County,252
75846,STANDARD,Jewett,Leon County,2310
76094,PO BOX,Arlington,Tarrant County,584
76849,STANDARD,Junction,Kimble County,3160
77008,STANDARD,Houston,Harris County,28410
78287,UNIQUE,San Antonio,Bexar County,0
79490,PO BOX,Lubbock,Lubbock County,481
79382,STANDARD,Wolfforth,Lubbock County,6850
77062,STANDARD,Houston,Harris County,24610
78886,STANDARD,Yancey,Medina County,540
76634,STANDARD,Clifton,Bosque County,5870
79527,STANDARD,Ira,Scurry County,470
78024,STANDARD,Hunt,Kerr County,1390
88535,PO BOX,El Paso,El Paso County,0
75567,STANDARD,Maud,Bowie County,3400
75681,STANDARD,Mount Enterprise,Rusk County,2260
78596,STANDARD,Weslaco,Hidalgo County,32650
76258,STANDARD,Pilot Point,Denton County,6840
75838,STANDARD,Donie,Freestone County,510
79512,STANDARD,Colorado City,Mitchell County,5110
77269,PO BOX,Houston,Harris County,773
78007,STANDARD,Calliham,McMullen County,120
78756,STANDARD,Austin,Travis County,6870
88528,PO BOX,El Paso,El Paso County,0
79243,STANDARD,Mcadoo,Dickens County,79
75425,PO BOX,Chicota,Lamar County,137
79560,STANDARD,Sylvester,Fisher County,117
77364,STANDARD,Pointblank,San Jacinto County,1840
88515,PO BOX,El Paso,El Paso County,0
79955,PO BOX,El Paso,El Paso County,99
78207,STANDARD,San Antonio,Bexar County,39910
78112,STANDARD,Elmendorf,Bexar County,7800
77562,STANDARD,Highlands,Harris County,10230
77487,PO BOX,Sugar Land,Fort Bend County,925
77709,PO BOX,Beaumont,Jefferson County,0
76797,UNIQUE,Waco,McLennan County,0
76710,STANDARD,Waco,McLennan County,20770
78838,STANDARD,Concan,Uvalde County,430
78299,PO BOX,San Antonio,Bexar County,169
76693,STANDARD,Wortham,Freestone County,1560
76460,STANDARD,Loving,Young County,380
78010,STANDARD,Center Point,Kerr County,2800
79063,STANDARD,Nazareth,Castro County,690
78224,STANDARD,San Antonio,Bexar County,17250
76001,STANDARD,Arlington,Tarrant County,31050
76939,PO BOX,Knickerbocker,Tom Green County,163
77393,PO BOX,Spring,Harris County,609
77357,STANDARD,New Caney,Montgomery County,21970
75242,STANDARD,Dallas,Dallas County,20
78361,STANDARD,Hebbronville,Jim Hogg County,4510
78780,UNIQUE,Austin,Travis County,0
79768,PO BOX,Odessa,Ector County,1423
78565,PO BOX,Los Ebanos,Hidalgo County,1286
79252,STANDARD,Quanah,Hardeman County,2480
79001,STANDARD,Adrian,Oldham County,240
76267,PO BOX,Slidell,Wise County,285
76679,STANDARD,Purdon,Navarro County,1200
77289,PO BOX,Houston,Harris County,348
75481,STANDARD,Sulphur Bluff,Hopkins County,320
78840,STANDARD,Del Rio,Val Verde County,43660
77377,STANDARD,Tomball,Harris County,35110
78772,UNIQUE,Austin,Travis County,0
88514,PO BOX,El Paso,El Paso County,0
75963,PO BOX,Nacogdoches,Nacogdoches County,2456
75440,STANDARD,Emory,Rains County,5300
78851,STANDARD,Dryden,Terrell County,50
77575,STANDARD,Liberty,Liberty County,13040
76873,STANDARD,Rockwood,Coleman County,38
78266,STANDARD,San Antonio,Comal County,6810
79357,STANDARD,Ralls,Crosby County,1990
77873,STANDARD,Richards,Grimes County,1090
79024,PO BOX,Darrouzett,Lipscomb County,380
75457,STANDARD,Mount Vernon,Franklin County,5610
75943,STANDARD,Douglass,Nacogdoches County,1260
77301,STANDARD,Conroe,Montgomery County,28010
78836,PO BOX,Catarina,Dimmit County,156
76233,STANDARD,Collinsville,Grayson County,2940
78387,STANDARD,Sinton,San Patricio County,8850
78246,PO BOX,San Antonio,Bexar County,462
76491,STANDARD,Woodson,Throckmorton County,380
78393,STANDARD,Woodsboro,Refugio County,2230
79353,STANDARD,Pep,Hockley County,29
76119,STANDARD,Fort Worth,Tarrant County,41930
76310,STANDARD,Wichita Falls,Wichita County,17040
75975,STANDARD,Timpson,Shelby County,2960
75956,STANDARD,Kirbyville,Jasper County,6280
78214,STANDARD,San Antonio,Bexar County,20140
76388,STANDARD,Weinert,Haskell County,217
79411,STANDARD,Lubbock,Lubbock County,5610
77535,STANDARD,Dayton,Liberty County,27420
75121,PO BOX,Copeville,Collin County,575
76653,STANDARD,Kosse,Limestone County,950
78724,STANDARD,Austin,Travis County,22920
77663,PO BOX,Village Mills,Hardin County,1284
77551,STANDARD,Galveston,Galveston County,16880
76190,UNIQUE,Fort Worth,Tarrant County,0
76120,STANDARD,Fort Worth,Tarrant County,15950
76249,STANDARD,Krum,Denton County,8530
88538,PO BOX,El Paso,El Paso County,0
76932,STANDARD,Big Lake,Reagan County,3790
79503,STANDARD,Avoca,Jones County,177
88557,PO BOX,El Paso,El Paso County,0
76015,STANDARD,Arlington,Tarrant County,15860
79851,PO BOX,Sierra Blanca,Hudspeth County,521
78029,PO BOX,Kerrville,Kerr County,2636
79741,STANDARD,Goldsmith,Ector County,360
78880,STANDARD,Rocksprings,Edwards County,1340
75631,STANDARD,Beckville,Panola County,2500
75252,STANDARD,Dallas,Collin County,21910
75243,STANDARD,Dallas,Dallas County,56300
77805,PO BOX,Bryan,Brazos County,2130
78244,STANDARD,San Antonio,Bexar County,30130
77555,UNIQUE,Galveston,Galveston County,173
79364,STANDARD,Slaton,Lubbock County,6750
76577,STANDARD,Thorndale,Milam County,2800
78520,STANDARD,Brownsville,Cameron County,57530
78330,STANDARD,Agua Dulce,Nueces County,930
75124,STANDARD,Eustace,Henderson County,3900
79251,STANDARD,Quail,Collingsworth County,59
77507,STANDARD,Pasadena,Harris County,217
79760,PO BOX,Odessa,Ector County,1803
75453,STANDARD,Lone Oak,Hunt County,2930
75390,UNIQUE,Dallas,Dallas County,15
76261,STANDARD,Ringgold,Montague County,258
75835,STANDARD,Crockett,Houston County,9050
77702,STANDARD,Beaumont,Jefferson County,2560
77014,STANDARD,Houston,Harris County,29620
78371,PO BOX,Oilton,Webb County,289
79835,STANDARD,Canutillo,El Paso County,11640
76108,STANDARD,Fort Worth,Tarrant County,37790
76092,STANDARD,Southlake,Tarrant County,29990
75180,STANDARD,Balch Springs,Dallas County,23110
77064,STANDARD,Houston,Harris County,46510
78229,STANDARD,San Antonio,Bexar County,24550
79553,STANDARD,Stamford,Jones County,2840
78130,STANDARD,New Braunfels,Comal County,64210
75711,PO BOX,Tyler,Smith County,2017
78382,STANDARD,Rockport,Aransas County,14290
79922,STANDARD,El Paso,El Paso County,7710
79430,UNIQUE,Lubbock,Lubbock County,0
76430,STANDARD,Albany,Shackelford County,2180
75782,PO BOX,Poynor,Henderson County,357
76199,UNIQUE,Fort Worth,Tarrant County,0
77419,PO BOX,Blessing,Matagorda County,1375
76065,STANDARD,Midlothian,Ellis County,33310
79045,STANDARD,Hereford,Deaf Smith County,19440
77220,PO BOX,Houston,Harris County,407
75483,PO BOX,Sulphur Springs,Hopkins County,1115
76539,STANDARD,Kempner,Lampasas County,7710
76504,STANDARD,Temple,Bell County,19360
78702,STANDARD,Austin,Travis County,19040
79040,STANDARD,Gruver,Hansford County,1800
78363,STANDARD,Kingsville,Kleberg County,22860
76524,STANDARD,Eddy,McLennan County,2600
79345,STANDARD,Meadow,Terry County,880
76121,PO BOX,Fort Worth,Tarrant County,873
79373,STANDARD,Tahoka,Lynn County,2680
77305,PO BOX,Conroe,Montgomery County,2438
76804,PO BOX,Brownwood,Brown County,1344
76196,UNIQUE,Fort Worth,Tarrant County,0
76266,STANDARD,Sanger,Denton County,13720
75261,PO BOX,Dallas,Tarrant County,550
75764,PO BOX,Gallatin,Cherokee County,269
79927,STANDARD,El Paso,El Paso County,37480
77066,STANDARD,Houston,Harris County,32040
79464,PO BOX,Lubbock,Lubbock County,942
78575,STANDARD,Olmito,Cameron County,4230
76227,STANDARD,Aubrey,Denton County,27410
78732,STANDARD,Austin,Travis County,16320
76708,STANDARD,Waco,McLennan County,23700
75701,STANDARD,Tyler,Smith County,27760
76163,PO BOX,Fort Worth,Tarrant County,610
78616,STANDARD,Dale,Caldwell County,7710
79525,STANDARD,Hawley,Jones County,2730
76842,STANDARD,Fredonia,Mason County,146
75752,STANDARD,Athens,Henderson County,5600
78054,PO BOX,Macdona,Bexar County,584
77230,PO BOX,Houston,Harris County,490
76643,STANDARD,Hewitt,McLennan County,13750
77489,STANDARD,Missouri City,Fort Bend County,35260
77235,PO BOX,Houston,Harris County,368
88582,PO BOX,El Paso,El Paso County,0
77627,STANDARD,Nederland,Jefferson County,21130
76906,PO BOX,San Angelo,Tom Green County,1100
76009,STANDARD,Alvarado,Johnson County,19540
78834,STANDARD,Carrizo Springs,Dimmit County,7550
79929,PO BOX,El Paso,El Paso County,381
75560,STANDARD,Douglassville,Cass County,890
78410,STANDARD,Corpus Christi,Nueces County,23920
